[2022-04-20 22:58:04] [2]Undefined variable $id | Fatal error on line 50 in file C:\xampp\htdocs\integrativeProgramming\InstructorArea\viewChildDetails.php 
[2022-04-20 23:01:50] [2]Undefined variable $id | Fatal error on line 50 in file C:\xampp\htdocs\integrativeProgramming\InstructorArea\viewChildDetails.php 
[2022-04-20 23:04:37] [2]Undefined variable $id | Fatal error on line 50 in file C:\xampp\htdocs\integrativeProgramming\InstructorArea\viewChildDetails.php 
[2022-04-20 23:45:59] [2]Undefined variable $id | Fatal error on line 50 in file C:\xampp\htdocs\integrativeProgramming\InstructorArea\viewChildDetails.php 
[2022-04-20 23:49:37] [8]Indirect modification of overloaded property Homework::$homeworkID has no effect | Fatal error on line 58 in file C:\xampp\htdocs\integrativeProgramming\Database\HomeworkDB.php 
[2022-04-20 23:49:37] [8]Indirect modification of overloaded property Homework::$class has no effect | Fatal error on line 59 in file C:\xampp\htdocs\integrativeProgramming\Database\HomeworkDB.php 
[2022-04-20 23:49:37] [8]Indirect modification of overloaded property Homework::$date has no effect | Fatal error on line 60 in file C:\xampp\htdocs\integrativeProgramming\Database\HomeworkDB.php 
[2022-04-20 23:49:37] [8]Indirect modification of overloaded property Homework::$homework has no effect | Fatal error on line 61 in file C:\xampp\htdocs\integrativeProgramming\Database\HomeworkDB.php 
[2022-04-20 23:52:16] [8]Indirect modification of overloaded property Homework::$date has no effect | Fatal error on line 141 in file C:\xampp\htdocs\integrativeProgramming\Database\HomeworkDB.php 
[2022-04-20 23:52:16] [8]Indirect modification of overloaded property Homework::$homework has no effect | Fatal error on line 142 in file C:\xampp\htdocs\integrativeProgramming\Database\HomeworkDB.php 
[2022-04-20 23:55:39] [8]Indirect modification of overloaded property Homework::$date has no effect | Fatal error on line 141 in file C:\xampp\htdocs\integrativeProgramming\Database\HomeworkDB.php 
[2022-04-20 23:55:39] [8]Indirect modification of overloaded property Homework::$homework has no effect | Fatal error on line 142 in file C:\xampp\htdocs\integrativeProgramming\Database\HomeworkDB.php 
[2022-04-20 23:57:17] [2]Undefined variable $id | Fatal error on line 50 in file C:\xampp\htdocs\integrativeProgramming\InstructorArea\viewChildDetails.php 
[2022-04-20 23:57:26] [2]Undefined variable $id | Fatal error on line 50 in file C:\xampp\htdocs\integrativeProgramming\InstructorArea\viewChildDetails.php 
[2022-04-21 00:00:50] [8192]Return type of XMLArray::current() should either be compatible with Iterator::current(): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice | Fatal error on line 60 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:00:50] [8192]Return type of XMLArray::next() should either be compatible with Iterator::next(): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice | Fatal error on line 68 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:00:50] [8192]XMLArray implements the Serializable interface, which is deprecated. Implement __serialize() and __unserialize() instead (or in addition, if support for old PHP versions is necessary) | Fatal error on line 15 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:00:50] [8192]Return type of XMLArray::offsetGet($offset) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice | Fatal error on line 118 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:01:28] [8192]Return type of XMLArray::current() should either be compatible with Iterator::current(): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice | Fatal error on line 60 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:01:28] [8192]Return type of XMLArray::next() should either be compatible with Iterator::next(): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice | Fatal error on line 68 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:01:28] [8192]XMLArray implements the Serializable interface, which is deprecated. Implement __serialize() and __unserialize() instead (or in addition, if support for old PHP versions is necessary) | Fatal error on line 15 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:01:28] [8192]Return type of XMLArray::offsetGet($offset) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice | Fatal error on line 118 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:01:46] [8192]Return type of XMLArray::current() should either be compatible with Iterator::current(): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice | Fatal error on line 60 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:01:46] [8192]Return type of XMLArray::next() should either be compatible with Iterator::next(): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice | Fatal error on line 68 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:01:46] [8192]XMLArray implements the Serializable interface, which is deprecated. Implement __serialize() and __unserialize() instead (or in addition, if support for old PHP versions is necessary) | Fatal error on line 15 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
[2022-04-21 00:01:46] [8192]Return type of XMLArray::offsetGet($offset) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice | Fatal error on line 118 in file C:\xampp\htdocs\integrativeProgramming\XML\XMLArray.php 
